Raman Shift (cm-1),E10_a,E50_a,EM2_b,Ethanol,EM3_a,EM6_b,EM4_a,EM3_b,EM1_b,E70_a,Methanol,EM1_a,E40_a,EM2_a,E80_a,E30_a,EM8_b,E5_a,E90_a,EM6_a,EM9_a,EM4_b,EM9_b,EM5_a,EMX,EMX_b
1242.0,123.983,1000.85,2315.339,1942.23,4738.533,3607.006,4424.044,3111.406,2072.139,1094.25,5247.856,2885.467,1059.95,4342.1,214.875,523.65,4558.639,66.783,2213.083,5780.844,6867.378,3003.739,5777.239,4898.678,4012.511,3142.206
1254.1,168.075,1085.308,2048.867,2528.656,3662.711,2239.633,3143.944,2451.6,2129.533,1139.975,2705.358,2778.678,1122.175,3700.578,255.331,558.975,2718.2,171.975,2790.742,3573.278,3681.044,2181.633,2962.7,3193.344,3043.111,2457.233
1266.2,84.667,823.233,1498.928,2007.217,2758.956,1585.728,2337.967,1893.994,1647.928,858.633,1243.294,2164.222,895.633,2891.622,206.053,465.5,1825.594,104.167,2072.467,2584.4,2490.367,1644.361,1715.794,2328.067,2616.833,2164.261
1278.3,221.833,1131.467,1632.472,1921.552,3097.089,1494.739,2563.289,1871.439,1642.906,1137.9,952.648,2375.789,1078.233,3209.822,220.563,608.933,1651.939,160.033,2185.4,2702.722,2365.889,1618.972,1550.906,2558.956,2770.989,2186.772
1290.4,127.85,1109.417,1997.217,2488.832,3535.889,1689.517,2918.378,2352.617,2131.85,1143.683,1016.868,2876.922,1059.383,3713.389,252.792,571.95,1792.85,116.65,2903.317,2884.911,2324.311,1946.783,1633.283,2721.578,2941.011,2442.317
1302.4,75.467,645.867,1749.761,2280.167,2839.989,1541.061,2457.9,2020.061,1802.094,703.467,1121.671,2223.589,652.633,3023.956,185.303,277.3,1711.028,62.867,2382.567,2528.967,2302.6,1697.228,1617.428,2369.833,2882.7,2386.128
1314.4,18.467,362.2,1211.722,1512.244,2207.422,1296.722,1860.256,1532.789,1154.789,419.0,1093.531,1567.956,399.4,2264.089,135.387,107.967,1565.822,29.333,1349.0,2216.556,2222.856,1282.456,1563.422,1948.022,2839.322,2244.089
1326.4,-5.3,260.5,943.317,1058.618,1658.0,1081.15,1481.089,1129.217,768.183,328.833,967.162,1110.1,289.367,1724.467,104.547,103.9,1392.683,54.067,816.333,1805.489,1916.922,1016.983,1342.483,1536.222,2593.489,2179.283
1338.4,-5.55,121.25,740.361,792.64,1387.611,955.228,1292.567,926.761,548.328,186.183,812.811,900.578,201.15,1440.011,62.915,20.217,1262.828,59.217,478.817,1620.5,1831.4,843.994,1192.261,1355.6,2276.567,1968.194
1350.4,-77.067,37.0,686.511,616.068,1307.967,851.278,1238.533,791.011,406.611,79.233,793.131,785.267,140.267,1297.4,60.96,-26.367,1222.878,-21.3,281.967,1617.567,1809.367,803.844,1198.244,1308.767,2137.5,1799.978
