Raman Shift (cm-1),EM5_a,EM6_a,Methanol,E60_a,E5_a,E50_a,E30_a,EM1_a,EM8_a,E90_a,Ethanol,EM3_a,E40_a,E20_a,EM2_a,EM9_a,EMX
1302.4,0.1063798349240206,0.10102818891325503,0.0759218082692835,0.08386975152720225,0.06749375161844175,0.07701123902772741,0.06291212301207756,0.11076758965426071,0.0932519885600737,0.11630189716766083,0.12717983190120533,0.10790089189198213,0.08150830831491127,0.07553357105280456,0.11296401492855093,0.0887752702373508,0.10037225667878613
1314.4,0.08743709634721811,0.08854034341628127,0.07399204876728929,0.048796580389018504,0.03165808951332747,0.04328579249441303,0.026307854812772136,0.07809268368363032,0.0873701601027374,0.06579960164186151,0.08432894947157496,0.08385904350901476,0.04991379006045668,0.031311433335606896,0.0845687532448396,0.08569868162878248,0.0988610053787755
1326.4,0.06894393294953424,0.07210900536587733,0.06544111945363781,0.035915632044019735,0.0582179360185568,0.031151878496314032,0.025272006344758992,0.055274427510226265,0.07464382496380972,0.039759870870103006,0.05901615847883871,0.06297727063316054,0.03618544504894013,0.028456598622270582,0.06440376660679376,0.07389578771349806,0.09029683042675528
1338.4,0.060832538677969346,0.06471449132543954,0.05500552922926561,0.022268305326095254,0.06379311209530064,0.014573110033539814,0.00711653412118943,0.04483243991575228,0.07148509138459481,0.02325342424189235,0.04417431624468458,0.05270064958782863,0.025179207656878224,0.01973148001479476,0.05377400829310224,0.07059628654461074,0.07925612839718191
1350.4,0.058729356734698854,0.06459714725272547,0.05365238162874459,0.010888795763050678,0.0,0.004525630286158718,0.0,0.03908566376682307,0.06965994282017281,0.013619556711116216,0.03432141950810985,0.049673635886163345,0.01758356304167893,0.0,0.048444816911069534,0.06974616155347947,0.074411359963528
1362.3,0.05186986609583584,0.059131049677305925,0.04805905061649344,0.007760340989687553,0.02377172349070858,0.001363587058807439,0.0,0.03466620148189712,0.0674721879107164,0.007844893032062757,0.02920150901586001,0.04525553524458515,0.008515004377350897,0.0,0.041037924366690445,0.06656536961786488,0.07110022052374679
1374.2,0.04582226933989572,0.05172010708301475,0.04059499232720417,0.004905513408935145,0.0,0.0,0.0,0.028876764699256253,0.05705364571281239,0.005458366576971207,0.027040056707602875,0.03804059009767934,0.0036451430261905974,0.007170507648095802,0.03792884636198972,0.057101707304610214,0.061408476582198605
1386.1,0.04156646162268167,0.047224493367955964,0.0364923091366861,0.0030911283082364583,0.003840815394556504,0.0,0.0,0.02619108839481296,0.05363016204185447,0.005852989390654601,0.023835683439591582,0.035850562178075196,0.005794782187202707,0.0,0.03577057822034466,0.05407828129760438,0.056037669537042506
1398.0,0.04157095242742898,0.04727099514362477,0.032164249527916716,0.001721452121130437,0.038838940932558436,0.0,0.0,0.025919774728360843,0.05257974143223713,0.0049179836780019436,0.02568559865707315,0.03517233080008482,0.008316166077016535,0.0,0.03524203495470506,0.05355990173918152,0.05355951746482772
1409.9,0.0430614079807546,0.04884667153754617,0.02701751950910307,0.004186178944913186,0.03400888091396599,0.0,0.0,0.02968746623535018,0.05552777624480845,0.0057202651878592095,0.027529710569255662,0.03938603085110504,0.011045048880027932,0.00233032155544612,0.03868246144043672,0.05469488678685049,0.0581261371881699
